IDCell,Time,Country_code,SmsIn,SmsOut,CallIn,CallOut,Internet
5548,1383519600000.00,39,3.527948658,4.953146977,2.543334737,1.7922932,171.4249753
5548,1383519600000.00,41,0.53856161,,,,0.269280805
5548,1383520200000.00,0,,0.39256692,,,
5548,1383520200000.00,39,2.975805099,2.686256682,1.402472954,2.057410011,173.0812964
5548,1383520800000.00,0,0.802207867,,,,
5548,1383520800000.00,39,1.177700761,5.561646446,,1.756783654,210.2681298
5548,1383521400000.00,39,3.594639839,3.245538809,0.312209037,0.95599303,190.1472254
5548,1383522000000.00,39,1.111816995,3.237390602,,,181.8910376
5548,1383522600000.00,0,,0.39256692,,,
5548,1383522600000.00,39,1.369370357,4.230560333,,1.460946048,162.0718878
5548,1383523200000.00,39,0.39256692,2.765540182,,0.39256692,170.8270761
5548,1383523800000.00,0,0.39256692,,,,
5548,1383523800000.00,39,1.201991737,4.091472672,0.214297057,,236.773765
5548,1383524400000.00,0,0.39256692,,,,
5548,1383524400000.00,39,0.663520016,5.687432277,0.58831062,0.95599303,163.6028041
5548,1383524400000.00,41,,,,,0.269280805
5548,1383525000000.00,39,0.214297057,2.395600723,1.188918568,,170.3402025
5548,1383525600000.00,0,0.39256692,,,,
5548,1383525600000.00,230,,,,0.95599303,
5548,1383525600000.00,39,0.95599303,2.686256682,,0.39256692,154.5922316
5548,1383526200000.00,39,,3.191209699,,,149.846136
5548,1383526800000.00,39,0.802207867,3.427952655,,,155.7674219
5548,1383527400000.00,39,,2.686256682,,0.95599303,140.6974424
5548,1383528000000.00,0,0.465851074,,,,
5548,1383528000000.00,39,,2.181303665,,,132.9936423
5548,1383528600000.00,39,,3.191209699,,,135.4685893
5548,1383529200000.00,39,0.460295764,4.005597772,0.391492536,0.0792835,130.7781703
5548,1383529800000.00,39,0.232925537,2.471959625,1.031459111,0.083357603,118.8321457
5548,1383530400000.00,39,,2.690330786,0.232925537,,125.2979966
5548,1383531000000.00,39,0.232925537,3.191209699,0.428594115,,114.3247257
5548,1383531600000.00,39,,2.686256682,0.737878554,,105.0225045
5548,1383532200000.00,39,,3.191209699,,,113.1335139
5548,1383532800000.00,0,0.0792835,,,,
5548,1383532800000.00,39,,2.551243124,,0.158566999,196.8257481
5548,1383533400000.00,39,,3.270493199,,0.396417498,130.7366632
5548,1383534000000.00,39,0.312209037,2.577721163,,0.0792835,108.8942299
5548,1383534600000.00,39,,2.686256682,,0.083357603,117.8603564
5548,1383535200000.00,39,,3.191209699,,0.504953017,101.7328175
5548,1383535800000.00,0,0.78513384,,,,
5548,1383535800000.00,1,0.39256692,,,,
5548,1383535800000.00,39,,2.471959625,,,100.8506011
5548,1383535800000.00,7,,,,,0.39256692
5548,1383536400000.00,39,,2.606973183,,,117.7308629
5548,1383537000000.00,39,,2.181303665,,,97.55121231
5548,1383537600000.00,39,,3.191209699,0.214297057,,104.2556557
5548,1383538200000.00,39,0.39256692,2.686256682,,,117.0449227
5548,1383538800000.00,39,,2.471959625,0.504953017,,95.28869989
5548,1383539400000.00,39,0.214297057,4.070843828,0.737878554,,99.20108275
5548,1383540000000.00,39,,2.686256682,,0.312209037,111.243738
5548,1383540600000.00,39,0.214297057,2.765540182,0.475924524,0.158566999,99.37102765
5548,1383541200000.00,0,0.232925537,,,,
5548,1383541200000.00,39,,3.158107102,0.719250075,0.39256692,114.7954276
5548,1383541200000.00,41,,,,,0.47185042
5548,1383541200000.00,94,,,,0.504953017,
5548,1383541800000.00,39,0.39256692,2.864526545,1.018059378,0.232925537,119.8586783
5548,1383542400000.00,39,0.232925537,3.424135237,,0.232925537,114.2116617
5548,1383542400000.00,63,,,,0.214297057,
5548,1383543000000.00,0,0.232925537,,,,
5548,1383543000000.00,39,0.0792835,2.765540182,0.584236517,,130.646479
5548,1383543600000.00,0,0.465851074,,,,
5548,1383543600000.00,380,,,,0.504953017,
5548,1383543600000.00,39,1.426769066,3.273417796,0.465851074,1.250984915,148.4294606
5548,1383544200000.00,0,0.214297057,,,,
5548,1383544200000.00,39,3.647478459,6.371397828,0.58831062,0.0792835,137.2119225
5548,1383544200000.00,63,,,,0.214297057,
5548,1383544800000.00,0,0.96974029,,,,
5548,1383544800000.00,39,3.026476211,2.864526545,1.421844105,0.504953017,144.9238109
5548,1383545400000.00,0,0.661847725,,,,
5548,1383545400000.00,39,3.506128612,5.728688218,0.686147477,2.497241943,157.2769012
5548,1383546000000.00,0,0.650457524,,,,
5548,1383546000000.00,39,3.25891052,4.945736304,2.34009055,4.103503898,161.9762505
5548,1383546600000.00,0,1.603623323,,,,
5548,1383546600000.00,39,7.457176778,8.264536487,5.257912182,4.692230625,172.1042464
5548,1383546600000.00,40,0.39256692,,,,
5548,1383546600000.00,41,,,,,0.39256692
5548,1383546600000.00,49,,,,,0.232925537
5548,1383547200000.00,0,0.933547132,,,0.897519937,
5548,1383547200000.00,39,3.973503335,4.973293969,4.146030443,5.265322854,211.2267399
5548,1383547200000.00,41,,,,,0.504953017
5548,1383547200000.00,49,,,,,0.970804091
5548,1383547800000.00,0,1.177700761,,,0.95599303,
5548,1383547800000.00,33,0.0792835,,,0.232925537,
5548,1383547800000.00,39,10.53346886,9.661015137,3.058947808,5.102533109,225.7078518
5548,1383547800000.00,41,,,,,0.95599303
5548,1383548400000.00,0,4.103439155,,,,
5548,1383548400000.00,33,,,0.95599303,,
5548,1383548400000.00,39,16.57133633,5.031356092,11.26586284,11.5304107,236.0782553
5548,1383548400000.00,41,,,0.083357603,,1.965899065
5548,1383549000000.00,0,6.902070205,,,,
5548,1383549000000.00,39,12.30001922,12.61767748,7.786607865,9.172009163,203.8152016
5548,1383549000000.00,41,,,,0.504953017,2.921892095
5548,1383549000000.00,61,,,,0.0792835,
5548,1383549000000.00,7,,,,,0.504953017
5548,1383549600000.00,0,5.058543046,,,,
5548,1383549600000.00,39,8.21053545,7.791209996,7.056393028,11.86989134,211.9601256
5548,1383549600000.00,41,,,,,1.460946048
5548,1383549600000.00,63,,,,0.232925537,
5548,1383549600000.00,94,,,,0.214297057,
5548,1383550200000.00,0,8.100173082,,,,
5548,1383550200000.00,1,,,,,1.460946048
5548,1383550200000.00,34,,0.504953017,,,
5548,1383550200000.00,39,13.64571754,8.5920337,14.16413653,14.14935884,224.2270468
5548,1383550200000.00,852,,,0.39256692,,
5548,1383550200000.00,94,,,,0.232925537,
5548,1383550800000.00,0,4.598526101,,,0.083357603,
5548,1383550800000.00,39,14.8624969,6.978780311,16.08363466,20.08871922,241.0481072
5548,1383550800000.00,44,0.504953017,,,,
5548,1383550800000.00,46,,,0.39256692,,
5548,1383550800000.00,49,,,,,0.232925537
5548,1383550800000.00,63,,,,0.232925537,
5548,1383550800000.00,94,,,,0.504953017,
5548,1383550800000.00,972,,0.95599303,,,
5548,1383551400000.00,0,11.05744247,,,0.0792835,
5548,1383551400000.00,380,,,,1.348559951,
5548,1383551400000.00,39,10.20167292,9.451889842,10.8353232,15.65567598,228.5411701
5548,1383551400000.00,63,0.465851074,,,0.232925537,
5548,1383552000000.00,0,9.75876161,,,,
5548,1383552000000.00,370,0.39256692,0.39256692,,,
5548,1383552000000.00,380,,,,0.504953017,
5548,1383552000000.00,39,12.33926524,7.381644845,17.47495168,21.24898221,232.7311399
5548,1383552000000.00,41,,,0.504953017,,
5548,1383552000000.00,63,0.504953017,,,,
5548,1383552600000.00,0,11.85500285,,,,
5548,1383552600000.00,39,12.41541551,14.88542462,14.76173178,19.07969758,268.4591941
